"HASH","MAC","TID","ROOMID","X","Y","SN","HTCI"
"03b3d740d45eb94ea0f98a1f955167fc","f6:84:71:e8:39:f1",1690428359,"1","1.9200","1.2480",4215,"012d"
"0be53e771ab09b364e34f7977eeebb34","d6:f5:89:71:e9:dd",1690428360,"1","1.8400","1.1960",53296,"012d"
"8b816df725018aa540d2cecded21b3d5","26:76:97:23:4f:0d",1690428485,"1","1.8140","1.1791",40999,"012d"
"2e4bf16f7427cc56334ef7f2a4997b18","36:fb:96:d4:2a:9a",1690428486,"1","2.0000","1.3000",12473,"012d"
"e3cecf8af4a4086ded6c8ab45bdedcf6","ca:83:26:b4:88:40",1690428487,"1","1.4120","0.9178",41154,"012d"
"fb1d2d5af9effe6522639fdc2a7ca215","fa:85:30:ef:0e:62",1690428488,"1","1.7600","1.1440",8430,"012d"
"0ff4035d1bc5712720a34e254000d839","de:82:b1:b7:4b:78",1690428490,"1","1.9740","1.2831",53372,"012d"
"33e2fabec087750871cbd393d9925c7d","12:15:a3:1d:08:fc",1690428491,"1","1.7340","1.1271",28765,"012d"
"e6c3c1f750ffeabb67bc67227d49d2c5","b2:f8:dc:2f:79:49",1690428492,"1","2.0800","1.3520",4282,"012d"
"20eb2b0e25e3b5a52eee7e70c653458f","e0:ca:94:02:17:ae",1690428496,"1","2.0000","1.3000",8381,"2c18"
"7ed45c35edd5580fd989438b64a968ae","da:df:f3:0c:bd:fd",1690428496,"1","1.7600","1.1440",45076,"012d"
"8f27f26ec1f117b986cf3bc1c3636472","32:92:90:9c:98:9a",1690428498,"1","1.8920","1.2298",53319,"012d"
"79b7378f08c2d4afb85ea2cfbad23440","40:31:3c:70:49:5d",1690428500,"1","1.9720","1.2818",49245,""
"9f99dd706991293267561113c7ab245e","b2:b7:e8:ec:13:44",1690428503,"1","1.8140","1.1791",45238,"012d"
"96cb32b543198d079e8a4787ec9fb77f","a6:b6:fa:a7:03:99",1690428504,"1","2.0000","1.3000",8370,"012d"
"7b70842df537982318141d00fee897e3","4c:44:5b:f3:54:ad",1690428505,"1","1.7600","1.1440",36947,"6709"
"778f0fbd5ae663941ddb93a5202f6d9f","a6:eb:51:97:a2:78",1690428506,"1","1.7340","1.1271",57363,"012d"
"24db5c411f02732f12745b57c38ce2f9","92:94:e2:05:d7:aa",1690428511,"1","1.6260","1.0569",57429,"012d"
"da6395340da936473d92c58c76e6cd6d","2a:33:85:61:1c:08",1690428513,"1","1.8400","1.1960",24698,"012d"
